district,apy_mean_yield,apy_median_yield,apy_std_yield,apy_cv_yield,apy_max_yield,apy_min_yield,apy_yield_range,apy_yield_trend_slope,apy_yield_cagr,apy_yield_mk_tau,apy_mean_area,apy_cv_area,apy_area_trend_slope,apy_area_cagr,apy_mean_production,apy_cv_production,apy_production_trend_slope,apy_production_cagr,apy_years_yield_observed,apy_fraction_yield_observed,apy_years_all_complete
Agra,3678.684210526316,3832.0,557.2671464518788,0.15148545364597893,4369.0,2411.0,1958.0,65.85617334423549,0.018078838252104212,0.5789473684210525,1.3235000000000001,0.04541876695150142,-0.0007293233082706781,-0.0013378571356508218,4.895,0.156861494728753,0.08290225563909774,0.01647665481987559,19,0.95,19
Aligarh,3613.684210526316,3601.0,526.4924872980492,0.14569410513636666,4300.0,2448.0,1852.0,61.388143908421924,0.015185245077730558,0.52046783625731,2.1625,0.06315367408094748,-0.010443609022556387,-0.008297259637520815,7.856999999999999,0.1515156059760113,0.09700751879699249,0.0069726414637751866,19,0.95,19
Allahabad,2570.4736842105262,2475.0,599.2115531096819,0.23311328055619393,3761.0,1364.0,2397.0,43.31414554374489,0.011261653977620245,0.3099415204678362,2.2034999999999996,0.05266318230942216,0.006759398496240599,0.004280048808224635,5.6745,0.21205472743919568,0.1105488721804511,0.015674220166851383,19,0.95,19
Ambedkar Nagar,3406.7894736842104,3357.0,428.60919507782745,0.12581029687587822,4111.0,2297.0,1814.0,41.320032706459536,0.012668873851543028,0.5555555555555555,1.175,0.02684208424023046,0.00019548872180451748,-0.0019648408929635597,4.0329999999999995,0.1294374844630909,0.050947368421052616,0.010699339333974933,19,0.95,19
Amethi,2989.785714285714,3003.0,565.9216007909207,0.18928500396762524,3878.0,1820.0,2058.0,48.00466321243524,0.00486422780239848,0.2527472527472528,1.1960000000000004,0.13302312588310403,0.01564285714285714,0.010090730070827059,3.6326666666666667,0.2652529864618552,0.09932142857142856,0.014736256826232141,14,0.7,14
Amroha,3353.5263157894738,3211.0,510.1905274199099,0.1521355371561481,4114.0,2109.0,2005.0,61.17653311529027,0.013160482123675044,0.6374269005847952,0.9040000000000001,0.06553187054042255,-0.0032932330827067664,-0.0073464715394340185,3.0469999999999997,0.15062268069042775,0.04446616541353384,0.005346931632784324,19,0.95,19
Auraiya,3550.4736842105262,3751.0,536.7699039854614,0.15118261723007703,4170.0,2265.0,1905.0,46.25192150449714,0.009742244799874733,0.48538011695906425,1.0014999999999996,0.04979619163968137,0.0018571428571428589,-0.0002994467476967744,3.5785000000000005,0.1626139549483235,0.05277443609022555,0.009346880811905933,19,0.95,19
Azamgarh,3025.684210526316,2943.0,484.211507118254,0.1600337224333222,3692.0,2118.0,1574.0,67.43614063777598,0.02121778300582311,0.7076023391812866,2.323,0.026941317037104777,0.0031578947368420996,0.0009948039037919187,7.080999999999999,0.16354413127465142,0.16636090225563907,0.022143213966484554,19,0.95,19
Baghpat,4156.578947368421,4263.0,456.58591935624344,0.10984656496066636,4737.0,3270.0,1467.0,52.16238757154539,0.00956584547761996,0.5087719298245613,0.544,0.06005625890947104,-0.0031428571428571434,-0.011840996552292982,2.2670000000000003,0.11749512489418064,0.016285714285714282,-0.002593795815361344,19,0.95,19
Bahraich,3051.1052631578946,3067.0,433.09697332594413,0.14194756849447032,3793.0,2376.0,1417.0,52.36026165167621,0.015808098237073187,0.5672514619883041,1.6489999999999998,0.07406058562531921,0.015127819548872178,0.011327081916707948,5.047,0.1755539275227766,0.12926315789473686,0.027203774733709496,19,0.95,19
Ballia,3121.2105263157896,3246.0,581.0241512428596,0.18615346396665147,3940.0,2108.0,1832.0,74.88135731807034,0.024256467311862595,0.543859649122807,1.3929999999999998,0.03616476822596442,-0.0024812030075187963,-0.004420887301676446,4.388000000000001,0.17961099296414787,0.10010526315789478,0.019624692259731846,19,0.95,19
Balrampur,2934.5789473684213,2882.0,446.71993659829644,0.152226245948807,3646.0,2102.0,1544.0,37.81062959934587,0.01844307118900068,0.3099415204678362,0.8835,0.08352036588284446,0.009225563909774439,0.013291538157233385,2.6325000000000003,0.18960885931903673,0.0646390977443609,0.03189790095816902,19,0.95,19
Banda,2130.9473684210525,2085.0,717.4098064630541,0.33666237706970037,3278.0,910.0,2368.0,95.24276369582994,0.04049480199427924,0.6257309941520467,1.5010000000000001,0.2447275626690168,0.02875187969924812,0.018522949510308973,3.4159999999999995,0.4738548676346215,0.21488721804511277,0.05987400767953499,19,0.95,19
Barabanki,3487.5789473684213,3547.0,543.069293285803,0.15571526881006667,4331.0,2370.0,1961.0,69.50163532297628,0.018821788842465992,0.6959064327485379,1.621,0.06366840650476538,-0.0038496240601503784,-0.009543763256749882,5.691000000000001,0.16117138784092433,0.0993533834586466,0.0091891776176789,19,0.95,19
Bareilly,3278.2631578947367,3151.0,612.8841509258829,0.18695392084370374,4075.0,1858.0,2217.0,80.85282093213411,0.022502955290116367,0.7192982456140351,1.984,0.06639384686949881,-0.0036541353383458645,-0.0057384184617625955,6.470999999999999,0.1793867133663161,0.13655639097744363,0.016609690825240886,19,0.95,19
Basti,3022.2105263157896,3149.0,545.7946886011838,0.18059452968239512,3944.0,2122.0,1822.0,69.521586263287,0.021403916603975892,0.5789473684210525,1.1804999999999999,0.08623320982154488,0.013812030075187972,0.01082946197104162,3.6034999999999995,0.23205633413467075,0.1204887218045113,0.0322739893821129,19,0.95,19
Bijnor,3284.9473684210525,3202.0,377.9049665493827,0.11504140680677848,3807.0,2703.0,1104.0,54.41373671300082,0.013331662345080542,0.6608187134502924,1.2605000000000004,0.18235786338636711,0.020714285714285713,0.0005074889269145455,4.212,0.27700785594200544,0.13631578947368422,0.013817425440512787,19,0.95,19
Budaun,3449.157894736842,3469.0,572.8368260157216,0.16608019797812906,4376.0,2105.0,2271.0,69.08078495502862,0.021831626685455907,0.6842105263157894,2.534,0.13336272087841627,-0.048406015037593994,-0.01815879271206411,8.717499999999998,0.14563232055288766,0.0074511278195489045,0.003502161079977917,19,0.95,19
Bulandshahr,4000.2105263157896,4030.0,449.7968157274977,0.11244328586419736,4541.0,2731.0,1810.0,40.78699918233852,0.008493634982198905,0.48538011695906425,1.9225,0.03942924410679934,-0.0016165413533834583,-0.002624146154466489,7.7315,0.1213988378415449,0.0741729323308271,0.005857708086588476,19,0.95,19
