district,year,area,production,yield,season_used
Agra,2006,1.28,4.25,3310.0,Total
Agra,2007,1.24,3.44,2770.0,Total
Agra,2008,1.36,4.3,3154.0,Total
Agra,2009,1.32,4.35,3293.0,Total
Agra,2010,1.38,4.4,3183.0,Total
Agra,2011,1.38,5.11,3703.0,Total
Agra,2012,1.35,5.25,3897.0,Total
Agra,2013,1.35,5.17,3832.0,Total
Agra,2014,1.32,4.9,3706.0,Total
Agra,2015,1.36,3.28,2411.0,Total
Agra,2016,1.21,3.9,3226.0,Total
Agra,2017,1.29,5.24,4080.0,Total
Agra,2018,1.37,5.54,4037.0,Total
Agra,2019,1.32,5.78,4369.0,Total
Agra,2020,1.37,5.55,,Total
Agra,2021,1.38,5.86,4258.0,Total
Agra,2022,1.42,5.73,4050.0,Total
Agra,2023,1.31,5.53,4222.0,Total
Agra,2024,1.21,5.1,4229.0,Total
Agra,2025,1.25,5.22,4165.0,Total
Aligarh,2006,2.15,6.55,3045.0,Total
Aligarh,2007,2.23,6.36,2856.0,Total
Aligarh,2008,2.15,6.92,3217.0,Total
Aligarh,2009,2.21,7.49,3387.0,Total
Aligarh,2010,2.24,7.16,3193.0,Total
Aligarh,2011,2.22,7.86,3545.0,Total
Aligarh,2012,2.18,8.2,3766.0,Total
Aligarh,2013,2.18,7.57,3465.0,Total
Aligarh,2014,2.25,8.11,3601.0,Total
Aligarh,2015,2.23,5.47,2448.0,Total
Aligarh,2016,2.17,7.1,3278.0,Total
Aligarh,2017,2.18,8.68,3980.0,Total
Aligarh,2018,2.24,9.61,4300.0,Total
Aligarh,2019,2.22,9.46,4266.0,Total
Aligarh,2020,2.24,9.22,,Total
Aligarh,2021,2.24,9.35,4182.0,Total
Aligarh,2022,2.33,9.76,4195.0,Total
Aligarh,2023,1.82,7.64,4196.0,Total
Aligarh,2024,1.93,7.69,3976.0,Total
Aligarh,2025,1.84,6.94,3764.0,Total
Allahabad,2006,2.3,4.55,1977.0,Total
Allahabad,2007,2.08,4.86,2335.0,Total
Allahabad,2008,2.24,5.0,2234.0,Total
Allahabad,2009,2.22,5.54,2494.0,Total
Allahabad,2010,2.08,4.46,2139.0,Total
Allahabad,2011,2.11,5.19,2465.0,Total
Allahabad,2012,2.16,5.72,2644.0,Total
Allahabad,2013,2.2,5.49,2492.0,Total
Allahabad,2014,2.14,5.22,2436.0,Total
Allahabad,2015,2.13,2.91,1364.0,Total
Allahabad,2016,2.35,4.49,1912.0,Total
Allahabad,2017,2.23,6.7,2998.0,Total
Allahabad,2018,2.1,7.91,3761.0,Total
Allahabad,2019,2.11,7.49,3553.0,Total
Allahabad,2020,2.11,5.93,,Total
Allahabad,2021,2.11,7.56,3585.0,Total
Allahabad,2022,2.22,6.39,2873.0,Total
Allahabad,2023,2.45,5.63,2302.0,Total
Allahabad,2024,2.47,6.11,2475.0,Total
Allahabad,2025,2.26,6.34,2800.0,Total
Ambedkar Nagar,2006,1.15,3.42,2977.0,Total
Ambedkar Nagar,2007,1.15,3.4,2960.0,Total
Ambedkar Nagar,2008,1.18,3.84,3244.0,Total
Ambedkar Nagar,2009,1.19,3.94,3313.0,Total
Ambedkar Nagar,2010,1.16,3.64,3130.0,Total
Ambedkar Nagar,2011,1.14,3.81,3352.0,Total
Ambedkar Nagar,2012,1.18,3.96,3357.0,Total
Ambedkar Nagar,2013,1.17,3.91,3342.0,Total
Ambedkar Nagar,2014,1.18,4.08,3444.0,Total
Ambedkar Nagar,2015,1.2,2.76,2297.0,Total
Ambedkar Nagar,2016,1.2,3.83,3183.0,Total
Ambedkar Nagar,2017,1.2,4.25,3549.0,Total
Ambedkar Nagar,2018,1.18,4.84,4111.0,Total
Ambedkar Nagar,2019,1.19,4.89,4099.0,Total
Ambedkar Nagar,2020,1.19,4.66,,Total
