district,year,month,rainfall_monthly,SPI1,SPI3
Agra,1966,1,1.6136221,-0.5169877754995775,
Agra,1966,2,14.19822,0.7251379154853409,
Agra,1966,3,0.0,-0.8416212335729142,-0.13716437092776113
Agra,1966,4,0.0,-0.7835003753897741,-0.15401135131242388
Agra,1966,5,21.364155,0.8274228882945597,0.07767102696072745
Agra,1966,6,109.9007,1.1342288930719713,1.0713509986635834
Agra,1966,7,78.79889,-1.4538405899719327,-0.38169969119344294
Agra,1966,8,375.3415,1.4153769305326516,0.752974042564593
Agra,1966,9,41.31173,-0.8045413644975434,0.0923166705084889
Agra,1966,10,8.543377,0.13582688334344797,0.7243922583608935
Agra,1966,11,9.187248,1.095700843381396,-0.7635375724924541
Agra,1966,12,0.1459662,-0.15050513724057882,0.09798010030328881
Agra,1967,1,0.0,-1.1107716166367858,-0.14860714987217857
Agra,1967,2,0.0,-0.7835003753897741,-2.3623905390678663
Agra,1967,3,23.049982,1.4391086713443664,0.20815547287959565
Agra,1967,4,0.28671148,-0.3925975460006613,0.3486478056715142
Agra,1967,5,2.1594436,-0.7047448640006283,0.28340817739668145
Agra,1967,6,46.87873,0.055138542132321285,-0.32185633351714893
Agra,1967,7,225.81628,0.4955599004731975,0.24269096360980888
Agra,1967,8,505.08533,2.120950851777404,1.7886618382938164
Agra,1967,9,200.9506,1.2527129912513457,2.1033791332066665
Agra,1967,10,2.2264178,-0.2671432474352075,1.9974851477791906
Agra,1967,11,0.35366276,0.4115208297302678,0.9514880926272365
Agra,1967,12,62.983883,3.144871792615177,1.093619474236471
Agra,1968,1,27.46032,1.3982203257566999,2.2651177138279577
Agra,1968,2,1.7684662,-0.21099505322742226,1.9732476536644827
Agra,1968,3,6.1186237,0.47234261871723865,0.6544516484214429
Agra,1968,4,0.0,-0.7835003753897741,-0.6518195243580374
Agra,1968,5,0.0,-1.5010859460440247,-1.1032930703230155
Agra,1968,6,14.812898,-1.012249939520192,-1.55343560881244
Agra,1968,7,255.5132,0.7711529858099223,0.20247899196124403
Agra,1968,8,177.08089,-0.06770412925187237,0.07474983984729423
Agra,1968,9,51.116486,-0.5834367647485653,0.024242800955791472
Agra,1968,10,19.211868,0.4956985161607697,-0.4013335066472649
Agra,1968,11,0.0,0.21042839424792484,-0.559731521402418
Agra,1968,12,0.0,-0.2533471031357997,0.14224226895996575
Agra,1969,1,2.9543324,-0.2740183902245196,-0.8499339957985791
Agra,1969,2,6.1550975,0.25031834543058046,-0.4206701222788806
Agra,1969,3,0.0,-0.8416212335729142,-0.5777547686967438
Agra,1969,4,2.1599452,0.1209578680841571,-0.6108287076581512
Agra,1969,5,15.72316,0.5412339465433278,-0.11783327369536431
Agra,1969,6,11.96369,-1.1762253476699676,-0.885802738832237
Agra,1969,7,310.59616,1.2316470892107447,0.7648805034662409
Agra,1969,8,208.00104,0.21874529437372095,0.5686012935974504
Agra,1969,9,112.65647,0.37339427833212274,0.8115801158828064
Agra,1969,10,0.0,-0.8416212335729142,0.11256657047879028
Agra,1969,11,30.676537,1.790684656205099,0.3928562957652993
Agra,1969,12,0.0,-0.2533471031357997,0.45721421891010866
Agra,1970,1,26.85114,1.3727091846268586,1.6051559188267746
Agra,1970,2,43.126205,1.681141928037087,1.5726302092335447
Agra,1970,3,4.5062165,0.31417737541218027,1.6145178397041398
Agra,1970,4,0.0,-0.7835003753897741,1.242036474487861
Agra,1970,5,23.993723,0.9447814892295876,0.4193072362909578
Agra,1970,6,71.187904,0.5447781491469302,0.562014078812287
Agra,1970,7,82.31477,-1.384763841155233,-0.7462894325396067
Agra,1970,8,236.09015,0.45526011152498935,-0.3060036652123057
Agra,1970,9,126.66234,0.5373304481112704,-0.20793765046749574
Agra,1970,10,3.0904284,-0.18639155738723626,0.3911196740378617
Agra,1970,11,0.0,0.21042839424792484,0.24615426500624474
Agra,1970,12,0.0,-0.2533471031357997,-0.7244538765155892
Agra,1971,1,10.721099,0.5070904896563934,-0.048617894857911174
Agra,1971,2,9.031926,0.4478218885516337,0.18415554875887333
Agra,1971,3,0.23934932,-0.5293174792833462,0.07297555265816665
Agra,1971,4,13.811844,1.1166800850072245,0.3366597035883656
Agra,1971,5,12.882994,0.372059977912314,0.34972622450480606
