district,year,month,avg_tmax,avg_tmin,avg_tmean,monthly_rainfall,rainy_days,HDD_10,HDD_15,HDD_18
Agra,1966,1,24.060322,7.0696774,15.565001,1.6136221,0,0.0,0.9849987,76.315
Agra,1966,2,28.323214,12.375358,20.349285,14.19822,1,0.0,0.0,1.7950001
Agra,1966,3,32.80419,15.073548,23.93887,0.0,0,0.0,0.0,0.11999893
Agra,1966,4,38.939003,21.763,30.351,0.0,0,0.0,0.0,0.0
Agra,1966,5,42.19484,26.054838,34.12484,21.364155,2,0.0,0.0,0.0
Agra,1966,6,39.964333,27.638,33.801167,109.9007,10,0.0,0.0,0.0
Agra,1966,7,37.191933,27.086775,32.139355,78.79889,7,0.0,0.0,0.0
Agra,1966,8,32.785164,25.37129,29.078226,375.3415,14,0.0,0.0,0.0
Agra,1966,9,34.905334,23.365667,29.1355,41.31173,2,0.0,0.0,0.0
Agra,1966,10,35.154194,18.43129,26.792742,8.543377,1,0.0,0.0,0.0
Agra,1966,11,29.593332,13.040667,21.317,9.187248,1,0.0,0.0,1.4949989
Agra,1966,12,23.981936,6.49129,15.236612,0.1459662,0,0.0,6.42,85.665
Agra,1967,1,22.576775,5.4825807,14.029677,0.0,0,0.0,37.809998,123.08
Agra,1967,2,28.5275,10.859285,19.693392,0.0,0,0.0,0.5,7.424999
Agra,1967,3,29.792257,13.494516,21.643387,23.049982,3,0.0,0.0,0.22999954
Agra,1967,4,37.013668,20.564667,28.789165,0.28671148,0,0.0,0.0,0.0
Agra,1967,5,41.73645,25.469355,33.602905,2.1594436,0,0.0,0.0,0.0
Agra,1967,6,41.661,28.994,35.327503,46.87873,4,0.0,0.0,0.0
Agra,1967,7,34.787422,26.447096,30.617258,225.81628,12,0.0,0.0,0.0
Agra,1967,8,32.037743,24.883226,28.460485,505.08533,25,0.0,0.0,0.0
Agra,1967,9,33.154,24.335,28.744501,200.9506,13,0.0,0.0,0.0
Agra,1967,10,34.024517,18.37871,26.201612,2.2264178,0,0.0,0.0,0.0
Agra,1967,11,28.704334,12.439333,20.571835,0.35366276,0,0.0,0.0,0.0
Agra,1967,12,22.25129,10.499355,16.375322,62.983883,7,0.0,1.7749996,50.894997
Agra,1968,1,20.13129,7.8248386,13.978065,27.46032,3,0.0,36.97,124.68
Agra,1968,2,23.848965,9.155862,16.502415,1.7684662,0,0.0,12.975,53.65
Agra,1968,3,31.430645,14.926775,23.178709,6.1186237,1,0.0,0.0,0.055000305
Agra,1968,4,37.588,20.481333,29.034666,0.0,0,0.0,0.0,0.0
Agra,1968,5,41.901936,25.741936,33.821934,0.0,0,0.0,0.0,0.0
Agra,1968,6,40.468998,28.323,34.396,14.812898,2,0.0,0.0,0.0
Agra,1968,7,34.07645,25.972582,30.024517,255.5132,17,0.0,0.0,0.0
Agra,1968,8,33.5629,25.21226,29.38758,177.08089,9,0.0,0.0,0.0
Agra,1968,9,35.711666,24.457333,30.0845,51.116486,2,0.0,0.0,0.0
Agra,1968,10,33.713547,17.99742,25.855484,19.211868,3,0.0,0.0,0.0
Agra,1968,11,29.834665,11.658667,20.746668,0.0,0,0.0,0.0,5.4349995
Agra,1968,12,24.32258,7.5803227,15.951451,0.0,0,0.0,17.265,68.405
Agra,1969,1,23.04871,6.406774,14.727742,2.9543324,1,0.0,25.57,103.735
Agra,1969,2,27.195713,9.315001,18.255358,6.1550975,1,0.0,3.6899996,29.805
Agra,1969,3,35.080322,15.937097,25.50871,0.0,0,0.0,0.0,0.0
Agra,1969,4,39.102333,21.378666,30.240501,2.1599452,0,0.0,0.0,0.0
Agra,1969,5,39.905483,24.905483,32.405483,15.72316,2,0.0,0.0,0.0
Agra,1969,6,42.575,29.529333,36.05217,11.96369,2,0.0,0.0,0.0
Agra,1969,7,34.614517,26.123873,30.369194,310.59616,18,0.0,0.0,0.0
Agra,1969,8,33.237095,25.502905,29.369999,208.00104,9,0.0,0.0,0.0
Agra,1969,9,32.955,24.176332,28.565668,112.65647,7,0.0,0.0,0.0
Agra,1969,10,34.656773,19.406775,27.031775,0.0,0,0.0,0.0,0.0
Agra,1969,11,29.860666,13.579333,21.72,30.676537,2,0.0,0.0,5.8500004
Agra,1969,12,24.464193,7.0793552,15.771773,0.0,0,0.0,4.1850023,69.24
Agra,1970,1,22.766129,7.4322577,15.099194,26.85114,1,0.0,15.22,89.924995
Agra,1970,2,24.17,9.295,16.7325,43.126205,5,0.0,10.325001,51.670002
Agra,1970,3,31.040323,14.346774,22.693548,4.5062165,0,0.0,0.0,2.0650005
Agra,1970,4,39.772667,20.619,30.195833,0.0,0,0.0,0.0,0.0
Agra,1970,5,42.50613,26.022259,34.264194,23.993723,2,0.0,0.0,0.0
Agra,1970,6,38.614002,26.748,32.681,71.187904,3,0.0,0.0,0.0
Agra,1970,7,36.6671,26.772903,31.72,82.31477,6,0.0,0.0,0.0
Agra,1970,8,33.68613,25.554516,29.620321,236.09015,16,0.0,0.0,0.0
Agra,1970,9,33.738667,24.551666,29.145166,126.66234,8,0.0,0.0,0.0
Agra,1970,10,34.074196,19.40742,26.740807,3.0904284,0,0.0,0.0,0.0
Agra,1970,11,29.534666,11.399334,20.467001,0.0,0,0.0,0.0,8.819999
Agra,1970,12,25.127096,6.8919353,16.009516,0.0,0,0.0,2.085,61.81
Agra,1971,1,21.850323,5.55871,13.704516,10.721099,2,0.0,41.340004,133.16
Agra,1971,2,26.256786,9.030714,17.64375,9.031926,1,0.0,6.5600004,37.905
Agra,1971,3,32.16226,14.27387,23.218065,0.23934932,0,0.0,0.0,3.1049995
Agra,1971,4,38.365334,21.482332,29.923834,13.811844,2,0.0,0.0,0.0
Agra,1971,5,38.77355,24.730324,31.751936,12.882994,2,0.0,0.0,0.0
Agra,1971,6,36.652332,26.748,31.700167,104.46721,8,0.0,0.0,0.0
Agra,1971,7,33.02226,25.58,29.30113,230.77547,16,0.0,0.0,0.0
Agra,1971,8,31.415161,24.765806,28.090483,234.04276,18,0.0,0.0,0.0
Agra,1971,9,33.339,23.405,28.372,29.247189,2,0.0,0.0,0.0
Agra,1971,10,32.571613,19.31387,25.942741,62.865753,4,0.0,0.0,0.0
Agra,1971,11,28.534334,12.479667,20.507,0.13462856,0,0.0,0.0,0.0
Agra,1971,12,23.911936,8.147097,16.029516,0.0,0,0.0,7.74,61.79
Agra,1972,1,22.829355,6.9835486,14.906452,18.512142,2,0.0,23.965,96.32
Agra,1972,2,23.376896,7.923104,15.650001,3.217473,1,0.0,24.220001,79.62
Agra,1972,3,32.829357,14.81129,23.820322,2.4279566,0,0.0,0.0,2.4300003
Agra,1972,4,37.460335,20.198,28.829166,0.6209456,0,0.0,0.0,0.0
Agra,1972,5,43.14516,26.114515,34.62984,2.0263,0,0.0,0.0,0.0
Agra,1972,6,42.833332,29.191668,36.0125,13.264006,2,0.0,0.0,0.0
Agra,1972,7,36.819035,27.286451,32.052742,160.95064,10,0.0,0.0,0.0
Agra,1972,8,33.287422,25.414839,29.35113,253.76314,18,0.0,0.0,0.0
