district,price_mean_modal,price_median_modal,price_mean_min,price_mean_max,price_mean_spread,price_std,price_cv,price_iqr,price_max_monthly,price_min_monthly,price_rolling_vol_3m,price_rolling_vol_6m,price_max_monthly_change,price_mean_abs_monthly_change,jan_avg_price,jan_std_price,feb_avg_price,feb_std_price,mar_avg_price,mar_std_price,apr_avg_price,apr_std_price,may_avg_price,may_std_price,jun_avg_price,jun_std_price,jul_avg_price,jul_std_price,aug_avg_price,aug_std_price,sep_avg_price,sep_std_price,oct_avg_price,oct_std_price,nov_avg_price,nov_std_price,dec_avg_price,dec_std_price,seasonal_amplitude,seasonal_cv,seasonal_strength,peak_to_trough_ratio,peak_price_month,trough_price_month,peak_month_consistency,price_trend_linear_slope,price_trend_quadratic_coef,price_cagr,mann_kendall_tau,mann_kendall_pvalue,structural_break_count,monthly_return_mean,monthly_return_median,monthly_return_volatility,pct_positive_months,longest_increasing_streak,longest_decreasing_streak,num_turning_points,max_drawdown,pct_imputed,observed_years,imputed_years,missing_years_before_imputation,fraction_extrapolated
Agra,1618.129526002395,1594.4791666666665,1584.8486376449946,1648.2670786498495,63.41844100485468,520.2695942732278,32.152530802559355,771.0841810764825,2956.9444444444443,815.0,43.41042898599009,67.83618823211971,391.1860804672292,44.16837767011874,1650.6837563818638,579.4863172824669,1673.7886929612462,566.795916745066,1629.5160396057668,528.7721342814676,1566.4964182141343,479.04954041869865,1557.666238830566,492.7508865188899,1564.075404162262,505.07111463792353,1562.9407979712455,499.93298534878903,1597.250539894924,504.5890108964545,1616.1626239873135,520.6165470553966,1626.4296688969723,537.671451949444,1670.811890696604,560.5067540362435,1701.7322404258425,577.6831847629115,144.06600159527648,3.05327057007959,0.009017792903564376,1.092488363684017,12.0,5.0,50.0,7.14529740208879,0.01740575069307139,0.0565491345246425,0.8622835934175657,4.8195916262527864e-88,5.0,0.0051524920722187265,0.0067608675161308085,0.040294824973432196,61.50627615062761,9.0,7.0,87.0,21.456799585559892,1.6666666666666667,20.0,3.0,0.0,0.8333333333333334
Aligarh,1611.5390548491544,1573.9212018140588,1584.490175898833,1634.9353157196545,50.44513982082131,518.530975795788,32.17613462332902,808.9481443881291,2868.098360655738,741.4893617021277,47.772200372260734,74.30258162830464,357.6598375784424,49.35089499888442,1667.5988424499144,574.6626505621388,1665.9092247619342,548.7588585536791,1632.871050406387,525.4153024142811,1544.456010426055,486.6975650750087,1551.7820979425953,498.79206071670734,1560.1263693501746,507.1176358817991,1539.0084904787843,499.9103878350173,1568.8866458861462,508.5614331359596,1596.1884782580887,516.3487355116537,1623.1755667093737,532.0295749937767,1688.1075597160095,556.5247603285952,1700.3583218043873,568.7298533558761,161.34983132560296,3.669678165441834,0.013007331691641673,1.1048401177276204,12.0,7.0,30.0,7.131973721533701,0.01471413721557703,0.057727086620399826,0.8505474600501107,1.0344133775652696e-85,5.0,0.005148416819086254,0.007107939055066348,0.04390659883823936,58.995815899581594,8.0,7.0,86.0,23.47314952471055,0.8333333333333334,20.0,1.0,0.0,0.8333333333333334
Allahabad,1577.2393895773237,1396.8036363636363,1538.5125936203742,1626.4637178754572,87.95112425508287,523.1413392725542,33.16816348422215,742.0179246698679,2863.793103448276,869.1304347826087,24.722333222541845,40.94102956134945,352.6064441887229,24.406621086568336,1564.2010517309623,573.3734849870755,1575.6490194386095,579.3546992180579,1561.5985079236953,540.5893968516098,1549.522736666626,491.7245819372487,1550.2660974871767,485.2442951287187,1565.012678633504,504.38334578906205,1558.8037887603086,504.88059983447783,1577.3701909515028,524.059768235701,1589.6619379797553,533.0092845814818,1599.0363772059611,541.6718950441584,1612.238640715063,557.8638192703374,1623.5116474347165,573.8172871987833,73.98891076809036,1.5290506614399977,0.0021252053433733153,1.0477494837715369,12.0,4.0,60.0,7.255523087417783,0.019975337504826034,0.05551841008830305,0.8963064164522344,6.299757721712049e-95,4.0,0.004417017011107836,0.004507199553268615,0.023010273541038528,70.29288702928869,76.0,18.0,34.0,19.51131948759469,50.0,20.0,13.0,0.0,2.9166666666666665
Ambedkar Nagar,1577.5523384786288,1585.233718487395,1538.1629208153324,1615.1739284775942,77.01100766226195,555.0626990752587,35.185057607061964,881.1796815408084,2814.090909090909,766.706875,37.79704627133699,58.21968073996939,417.86666666666633,39.51092254860099,1583.3376435028615,618.996708886445,1578.9220304851815,588.7072332726472,1583.567741784575,572.1393607276235,1524.460696610542,519.9051912982312,1533.7655534446947,524.7015672243052,1550.7821039641124,537.6568018829074,1535.9666676690836,545.1791316954395,1555.0962501250294,560.5405356098598,1576.6480845007875,571.56722830796,1614.4594230390815,562.6752941383502,1647.7937109746367,588.5969752096219,1645.82815564296,602.3910357546328,123.33301436409465,2.6147421942261873,0.005522569849228383,1.0809027183438122,11.0,4.0,35.0,7.766017540369897,0.009810212992229865,0.06415569849608449,0.8891837475593626,2.1778660513482403e-93,4.0,0.0057288199724478545,0.0,0.03768002032673212,48.53556485355649,17.0,10.0,75.0,22.96829377996995,25.0,20.0,12.0,0.0,4.166666666666666
Auraiya,1578.830189105664,1509.4791666666665,1548.50526028863,1608.6744483230757,60.169188034445746,525.3453706455904,33.27434288187603,844.034153875785,2945.6363636363635,864.0,39.17831889920991,61.23856361506601,327.3392857142858,40.076860850361,1610.6742122848514,590.1157450963659,1600.7758554579905,551.5073792979211,1572.816899257142,534.8429256732901,1531.6162681834958,485.9234460608877,1542.6263277646246,494.5332263502239,1544.5996442320302,500.71445685456166,1528.876841383625,494.01485677729056,1564.1622785794455,531.4802482041163,1580.3763236120428,534.3945167033,1595.041524770493,551.3332628422379,1630.28333014124,576.7072036696087,1644.1127636009871,579.780715082715,115.23592221736203,2.425286662058448,0.00531260077848271,1.0753729267774599,12.0,7.0,40.0,7.198450849667212,0.020246553797438675,0.05419368858297591,0.8635929494884048,3.3461570780557286e-88,3.0,0.004813327873196077,0.0020893279943121623,0.03694507123061019,54.39330543933054,18.0,13.0,75.0,22.71791004824673,23.75,20.0,10.0,0.0,4.166666666666666
Azamgarh,1604.4390143644969,1581.852766798419,1576.2196352942888,1627.993201766791,51.77356647250191,510.5927762707953,31.823757194849584,796.6635338345864,2894.75,757.5,41.05308740561838,63.7732015464372,467.2086956521739,42.05690861268458,1612.8561800927655,567.671180856793,1645.841676257889,568.9133637784435,1625.0119750498038,516.592574014824,1565.688841399828,481.52062631703484,1559.0336415558127,485.74026215541653,1574.512198964214,484.0283921532647,1560.337212564006,496.152489898817,1567.0247091427664,506.7215467374665,1587.3376414639283,510.0398467120441,1623.3280313003418,526.1071348632812,1655.148761855498,543.5537285331311,1677.1473027271109,556.5216272292454,118.11366117129819,2.5573539156624725,0.006457713375794097,1.0757608162024193,12.0,5.0,45.0,7.041937506559286,0.016125843042131466,0.05811462156631819,0.8663690975623773,7.580705023014382e-89,4.0,0.005743123701831593,0.008089181618593289,0.040712841515171294,64.01673640167364,10.0,7.0,85.0,20.043312543312545,2.083333333333333,20.0,3.0,0.0,0.8333333333333334
Baghpat,1672.1099932934449,1587.4676969696968,1638.5474420694516,1700.9254811682779,62.37803909882632,528.0351208141667,31.578970458404516,950.6178926767675,2935.4166666666665,824.5925925925926,27.967763271560838,46.345803508905476,399.60769230769256,28.255340786278317,1692.8711615196626,521.4428151386405,1697.392121102789,531.39659496724,1686.001437847092,544.9908420530313,1630.4855229148989,531.8921066765137,1611.6088604043584,537.5240127986293,1627.4413797563998,539.8374607453972,1635.775742953067,542.959050088427,1651.187535933802,545.2550518359013,1673.5262198947971,543.4203318782126,1688.560670435636,553.3892317564498,1720.2733433112924,547.2254263522285,1750.1959234475453,528.6749047758059,138.58706304318684,2.4919861310752567,0.006227235756743377,1.085992989023661,12.0,5.0,60.0,7.400031206561555,0.01808136148787506,0.05595798414945774,0.9074677939715661,2.7139015968244887e-97,5.0,0.004695362360715161,0.006380872728105169,0.03063834219507796,72.38493723849372,31.0,12.0,39.0,18.981765792044623,42.5,20.0,16.0,0.0,0.8333333333333334
Bahraich,1582.2481321108523,1552.1387987012986,1550.8460854408193,1609.8535645145068,59.00747907368763,514.6681710796213,32.527652309060436,784.7937712729752,2787.1666666666665,788.4736842105264,39.01801392619125,60.251710498448006,306.074315920398,40.60790359020972,1600.6066432398534,566.9535998909394,1601.1363379127915,524.7942478412142,1589.272873258042,490.1963886875239,1542.8948544203747,492.814622985929,1545.506976235467,492.6948032124083,1552.7656566159083,504.33239380354473,1535.819328029657,497.98493052831594,1557.1105589338947,527.233147907762,1585.0554689646287,536.8328323068456,1593.8842699578422,545.5820004330521,1632.1063334393107,566.2742271734983,1650.8182843224538,554.0496458222642,114.99895629279672,2.30485399716761,0.0050208980321508655,1.0748779196836467,12.0,7.0,45.0,7.135927646200034,0.01637695510163342,0.057161995510032426,0.8714497461411307,7.048493453710168e-90,5.0,0.005261234778715079,0.006066097420696304,0.037754873826048974,62.34309623430963,11.0,7.0,72.0,22.58577821979115,1.25,20.0,2.0,0.0,0.8333333333333334
Ballia,1622.3742101510109,1577.811671087533,1592.0534292765383,1659.0578750353757,67.00444575883749,498.97074858651234,30.75558927555117,780.8887199081405,2847.169811320755,800.6,32.92965050697137,53.43792341052752,386.5705128205127,32.79476353320285,1637.4705018748537,558.5336050389469,1657.1688594669672,562.5066212242717,1631.4784274687725,513.3561572818663,1587.0552753099414,468.17446581451594,1576.6538387164244,462.96191583693144,1584.661435634483,471.2465201015774,1596.0753947669002,485.5155281465604,1608.4357758072333,496.1997081776838,1619.712336610926,502.9312400447609,1633.3544407253762,512.440076583136,1653.0259231425057,524.3973785195317,1683.398312287747,547.0340275575636,106.74447357132271,2.032315852984693,0.004366508447955659,1.0677031767849718,12.0,5.0,55.00000000000001,6.9016893947225615,0.01788092814082581,0.05514603357865133,0.8999930282015971,9.739956975426875e-96,4.0,0.005101790457256501,0.004831047368633046,0.03293487050102594,71.1297071129707,54.0,7.0,59.0,22.137952327540045,23.333333333333332,20.0,7.0,0.0,0.8333333333333334
Balrampur,1572.5628823796646,1521.743271221532,1536.165839510267,1601.9885295616878,65.82269005142076,533.9898255828712,33.95665963925185,796.823238077505,2891.6326530612246,821.1033333333334,37.21575754381388,57.55389741632886,385.9845049130763,37.77012555483615,1581.915418127444,582.224560781935,1589.1820080315676,578.5184141805307,1577.5387326420116,552.5665001550723,1536.2104409001865,509.67781662942895,1533.5702072061472,501.92904788047156,1543.937342245474,518.5605519324001,1529.159373671448,507.9225647929578,1549.8038470664746,528.1729817955182,1574.244762785296,536.5411497566628,1591.9004249720128,561.2897155808347,1628.918042686261,587.9183099350641,1634.3739882216507,571.9637767023012,105.21461455020267,2.2543773949555943,0.004407611616051426,1.0688055256775406,12.0,7.0,45.0,7.421472843014698,0.013930642025174153,0.06251936273315994,0.8875437279315013,5.0329192582319165e-93,5.0,0.005340387631958824,0.005843096992390384,0.034737916555705156,61.08786610878661,24.0,6.0,78.0,20.84868110369021,17.083333333333332,20.0,5.0,0.0,4.583333333333333
