district,temperature_avg_diurnal_range,temperature_cagr,temperature_cv_summer,temperature_cv_tmax,temperature_cv_tmean,temperature_cv_tmin,temperature_cv_winter,temperature_max_tmax,temperature_max_tmean,temperature_mean_summer,temperature_mean_tmax,temperature_mean_tmean,temperature_mean_tmin,temperature_mean_winter,temperature_median_tmax,temperature_median_tmean,temperature_median_tmin,temperature_min_tmean,temperature_min_tmin,temperature_std_tmax,temperature_std_tmean,temperature_std_tmin,temperature_summer_winter_diff,temperature_trend,rainfall_anomaly_index,rainfall_avg_rainy_days,rainfall_cagr,rainfall_concentration_index,rainfall_cv_annual,rainfall_cv_monthly,rainfall_heavy_rain_frequency,rainfall_longest_dry_spell,rainfall_max_annual,rainfall_max_monthly,rainfall_mean_annual,rainfall_mean_monsoon,rainfall_mean_monthly,rainfall_mean_non_monsoon,rainfall_median_annual,rainfall_min_monthly,rainfall_monsoon_cv,rainfall_monsoon_share,rainfall_peak_month,rainfall_std_annual,rainfall_std_monthly,rainfall_trend,rainfall_very_heavy_frequency,rainfall_wet_day_frequency,hdd10_anomaly,hdd10_cv,hdd10_high_freq,hdd10_max,hdd10_mean,hdd10_median,hdd10_min,hdd10_nonzero_freq,hdd10_persistence,hdd10_std,hdd10_summer_share,hdd10_trend,hdd10_variability_index,hdd10_winter_share,hdd15_anomaly,hdd15_cv,hdd15_high_freq,hdd15_max,hdd15_mean,hdd15_median,hdd15_min,hdd15_nonzero_freq,hdd15_persistence,hdd15_std,hdd15_summer_share,hdd15_trend,hdd15_variability_index,hdd15_winter_share,hdd18_anomaly,hdd18_cv,hdd18_high_freq,hdd18_max,hdd18_mean,hdd18_median,hdd18_min,hdd18_nonzero_freq,hdd18_persistence,hdd18_std,hdd18_summer_share,hdd18_trend,hdd18_variability_index,hdd18_winter_share,spi1_avg_drought_duration,spi1_longest_drought_spell,spi1_longest_wet_spell,spi1_max,spi1_mean,spi1_mean_monsoon,spi1_mean_rabi,spi1_median,spi1_mild_drought_freq,spi1_min,spi1_moderate_drought_freq,spi1_severe_drought_freq,spi1_std,spi1_wet_freq,climate_coldest_year,climate_driest_year,climate_hdd_stability,climate_hdd_variance,climate_rain_stability,climate_rain_variance,climate_spi_stability,climate_temp_stability,climate_temp_variance,climate_variability_score,climate_warmest_year,climate_wettest_year
Agra,13.547386335555554,-0.0003152961286838618,0.1470439857452138,0.01672931464337374,0.015695308657072193,0.025059478344636944,0.11131000239207219,47.53,26.4767,29.07935146111111,32.37162824999999,25.606285500000002,18.840941966666662,16.146919022222225,32.315565,25.5583715,18.8202725,24.624096,1.31,0.5415551545125759,0.4018985544836122,0.47214417720624463,12.932432438888885,0.00821634187274293,2.7200464103316337e-16,46.5,0.0028898485981667665,2.8154617635072374,0.3015584178582471,1.6509346580139383,0.001049509468400639,254,1124.5314,505.08533,631.6347678333333,557.0540440033333,52.63623032314861,74.58071987445001,622.94795,0.0,0.3297108321801945,0.8819242897508148,8,190.47478125208121,86.89897690769024,-1.2088933978882903,0.00013689253935660506,0.1273100616016427,9.25185853854297e-18,3.07915997086975,0.11666666666666667,8.820717,0.63483645845,0.0,0.0,0.25,1,1.9547630109079575,0.0,0.020070868784968048,3.07915997086975,0.9999999999999998,6.0396132539608514e-15,0.4998702553224267,0.45,149.345,53.53509073333333,51.8774985,7.404999,1.0,6,26.76059947358061,0.00028641653249431904,0.414214888357878,0.4998702553224267,0.9996419791865041,-3.173757553061781e-14,0.21483047474353378,0.4666666666666667,317.25998,212.03185600000003,205.84249499999999,114.84,1.0,6,45.5509042852326,0.003309584862696074,0.028457442067242857,0.21483047474353378,0.9878099269393139,1.0961538461538463,3,4,3.144871792615177,0.1048392004398565,-0.002268436826192288,0.18972865152704274,0.0834730662246437,0.18888888888888888,-2.906485074865661,0.05416666666666667,0.025,0.8883680364401236,0.15833333333333333,1997,2006,0.8231601205189659,2074.884881202421,0.7683097326092589,36280.64229302819,0.5295577878373541,0.9845472273788247,0.161522448096017,0.3551130594247442,2010,1996
Aligarh,13.547386335555554,-0.0003152961286838618,0.1470439857452138,0.01672931464337374,0.015695308657072193,0.025059478344636944,0.11131000239207219,47.53,26.4767,29.07935146111111,32.37162824999999,25.606285500000002,18.840941966666662,16.146919022222225,32.315565,25.5583715,18.8202725,24.624096,1.31,0.5415551545125759,0.4018985544836122,0.47214417720624463,12.932432438888885,0.00821634187274293,5.551115123125783e-16,50.166666666666664,0.008287709564194223,2.7064035996796743,0.24910178462100993,1.5703134167062582,0.0019164955509924709,231,1124.0508,523.15485,712.4065569999999,616.8968660000002,59.36721284581805,95.50968814981665,699.785225,0.0,0.2765494315220489,0.8659337283443901,8,177.46174472440921,93.2251308442442,-0.465142086135026,0.00013689253935660506,0.13734884782112708,9.25185853854297e-18,3.07915997086975,0.11666666666666667,8.820717,0.63483645845,0.0,0.0,0.25,1,1.9547630109079575,0.0,0.020070868784968048,3.07915997086975,0.9999999999999998,6.0396132539608514e-15,0.4998702553224267,0.45,149.345,53.53509073333333,51.8774985,7.404999,1.0,6,26.76059947358061,0.00028641653249431904,0.414214888357878,0.4998702553224267,0.9996419791865041,-3.173757553061781e-14,0.21483047474353378,0.4666666666666667,317.25998,212.03185600000003,205.84249499999999,114.84,1.0,6,45.5509042852326,0.003309584862696074,0.028457442067242857,0.21483047474353378,0.9878099269393139,1.25,3,3,2.5447201549059955,0.09252836307159062,0.004664018446828163,0.16023088316877987,0.0417892978164539,0.14166666666666666,-3.1722971210103954,0.06666666666666667,0.0375,0.9005237510553796,0.1638888888888889,1997,1997,0.8231601205189659,2074.884881202421,0.8005752712165166,31492.670840631385,0.5261707460612844,0.9845472273788247,0.161522448096017,0.3450378297692489,2010,2003
Allahabad,13.150365068472224,-0.00040978648149980756,0.13079265313673544,0.015979091996576673,0.015991049863568228,0.025530094541831843,0.09965768082346578,47.11,26.632465,29.35056616111111,32.293953450000004,25.7275963,19.161239216666665,17.234252075,32.3271905,25.6951365,19.146165,24.612795,1.7,0.5160280531107146,0.41141127530305344,0.4891882487401559,12.11631408611111,0.006470572603501249,2.960594732333751e-17,58.7,-0.002522935667399917,2.6761016133792968,0.2709932513808842,1.557446770314872,0.0025096965548710927,244,1263.4198,566.61597,822.3106553333333,734.2578102,68.52588800085833,88.0528458103,836.3036,0.0,0.29674101023719696,0.8929202187005104,7,222.8406381339256,106.72542294989545,-2.2164657543761974,0.0003650467716176135,0.16071184120465434,9.25185853854297e-18,3.9569592381590817,0.08333333333333333,3.2749996,0.15215322129999997,0.0,0.0,0.11666666666666667,2,0.602064094638698,0.0,0.008519854982050568,3.9569592381590817,1.0,9.473903143468002e-16,0.7324003209350107,0.4166666666666667,104.46,26.155399775,22.790373000000002,3.715002,1.0,6,19.156223189393508,0.0005703095532758143,0.3639146666712979,0.7324003209350107,0.9994296904467244,-5.210646728907401e-15,0.26532339558295603,0.4666666666666667,225.01674,139.194151,138.581845,61.760002,1.0,6,36.93146478860672,0.0022614301399309644,0.20227893759377788,0.26532339558295603,0.9917779587764294,1.203125,3,3,3.0665134968579246,0.09873278356864626,0.00016713774091969095,0.16165590419300985,0.083651733907129,0.12777777777777777,-3.009223190097279,0.07777777777777778,0.029166666666666667,0.894100606636949,0.1597222222222222,1983,1997,0.7903117918240047,1363.9330914320979,0.786786238961961,49657.95000393518,0.5279550603046054,0.9842606390423266,0.16925923744648483,0.3616020758660894,2010,2011
Ambedkar Nagar,12.867313778333337,-0.0003576911049779641,0.12209827249050985,0.015363559721077977,0.015476869134156608,0.024991174874213037,0.09961820013707506,45.91,26.431301,28.705395238888894,31.9259533,25.50142113333333,19.076888883333336,17.071742652777775,31.9476575,25.484277,19.0937945,24.524014,1.04,0.49049629017689655,0.39468215761561565,0.47675386613931403,11.633652586111118,0.0051831446512925795,-3.7007434154171886e-16,62.483333333333334,0.0006815719892248051,2.6154932291717166,0.2904599552874107,1.5503830683107047,0.0031941592516541184,239,1730.6847,737.35474,958.2292450000001,850.9174498333333,79.85243720906111,107.31179667540002,1004.83035,0.0,0.3225101197585719,0.8880103109703495,7,278.3272236577893,123.80186661227205,-2.163553758266169,0.0003194159251654118,0.17107004334930412,-3.14563190310461e-17,4.11895159440179,0.1,9.954999,0.3653498485,0.0,0.0,0.11666666666666667,2,1.5048583409935277,0.0,0.017042181359544318,4.11895159440179,1.0,-1.8947806286936005e-15,0.8121206937250782,0.4166666666666667,122.495,28.299240140000002,21.610001,2.0800009,1.0,8,22.982398534389382,0.0,0.6393356858849683,0.8121206937250782,1.0,-2.7711166694643907e-14,0.26432930503864593,0.48333333333333334,243.46999,142.99800180000003,142.3025,66.619995,1.0,8,37.798562437709045,0.002155670654540765,0.6256959170880826,0.26432930503864593,0.9945604602374829,1.098360655737705,3,3,3.129492431918678,0.12674677136889104,0.003354011361873477,0.20791454376022014,0.09976036728122806,0.14305555555555555,-2.209609276176432,0.059722222222222225,0.03333333333333333,0.883750569029715,0.1597222222222222,1971,1973,0.7909331817389408,1428.731322357389,0.7749174981390883,77466.04342905307,0.5308558449514266,0.9847590136175598,0.1557740055401177,0.3635041746224821,2010,1990
Amethi,12.739567821666666,-0.000431529852865542,0.12863003757710506,0.017065400738983556,0.015765350038918147,0.023126698114515693,0.10299329886725646,46.64,26.388617,28.80202843333333,31.892523683333334,25.53148626666667,19.170448783333335,16.935786452777776,31.975507,25.5048655,19.174783,24.414919,1.64,0.5442586972336072,0.4025128180078315,0.44334918173193466,11.866241980555554,0.00385314365101459,5.236551932815322e-16,56.75,-0.002530630086866381,2.6448947511881364,0.3026856373664314,1.5582896975841203,0.002783481633584303,266,1618.3597,608.19025,825.6423849999999,732.8399884466666,68.8035320268861,92.80239587596665,751.733835,0.0,0.3291990530973696,0.8875997668732409,7,249.91009154046552,107.21583511489568,-6.431899883856612,0.00022815423226100844,0.15537303216974674,-9.251858538542972e-17,3.6334963751384874,0.11666666666666667,14.914999,0.6479352170000001,0.0,0.0,0.16666666666666666,2,2.3542702622940697,0.0,0.032405230113920526,3.6334963751384874,1.0,1.8947806286936005e-15,0.7794380801194165,0.4,135.75,32.07421315,26.35,2.494999,1.0,8,24.99986311897694,0.00032736583443772127,0.6242910619283136,0.7794380801194165,0.9996726341655623,2.8895404587577406e-14,0.2784423127943654,0.5166666666666667,263.59,153.61541131666664,157.544995,72.45,1.0,8,42.77303040787039,0.002835457076353817,0.5810358322589622,0.2784423127943654,0.9927818918510878,1.1818181818181819,3,4,3.579825636546029,0.09306526534892999,0.00034642396410361855,0.16374568557102262,0.1492888244050341,0.15694444444444444,-3.0050762176729773,0.07916666666666666,0.029166666666666667,0.9040676519455659,0.1486111111111111,1983,1997,0.782201895222196,1829.532130272605,0.7676449108793779,62455.05385376385,0.5251914232029548,0.9844793386205642,0.16201656866060568,0.37524023803632023,2010,1980
Amroha,13.10286648875,-0.00021214066166408418,0.15044805364308736,0.016956426476706123,0.0158281877322234,0.024655388979493348,0.10629420155746797,46.48,25.605642,27.571515316666666,31.284120616666666,24.739996199999997,18.19587136666667,15.487996044444445,31.181493500000002,24.725946999999998,18.195137,23.77233,1.4,0.5304668911249145,0.39158930434809347,0.44862628636599194,12.08351927222222,0.00821036654626315,-1.4525417905512465e-16,52.9,0.003922757159335877,2.619749455810159,0.27509525041519467,1.5564988039559002,0.003696098562628337,232,1398.1696,689.70856,888.8012555,769.993629855,74.06677129286666,118.8076256594,841.465285,0.0,0.3106464867509349,0.8663282427766552,7,244.50500395111192,115.28484093022216,-1.5225103020283262,0.0004106776180698152,0.14483230663928817,6.29126380620922e-17,3.088587580698189,0.11666666666666667,10.994999,0.6657372126666666,0.0,0.0,0.25,1,2.0561876870508957,0.0,0.02062293978632954,3.088587580698189,0.9999999999999998,-6.2764608325475514e-15,0.41820981644966104,0.48333333333333334,156.405,70.9873749,68.32401250000001,16.850002,1.0,6,29.687617027172276,0.0011431700762163412,0.39991787691025354,0.41820981644966104,0.9987276989340764,7.579122514774402e-15,0.1916582488929029,0.5166666666666667,355.785,257.2562625,258.39465,155.94,1.0,6,49.30528478748296,0.010854474407088708,-0.13120841483745233,0.1916582488929029,0.9772170542193647,1.2380952380952381,3,3,3.200952099552537,0.07828718219321236,0.004790745236764897,0.12503051552652744,0.0116654370767986,0.17083333333333334,-3.445757571613634,0.06805555555555555,0.04027777777777778,0.9069637226700819,0.1597222222222222,1997,1987,0.8391667669225125,2431.0111079747985,0.7842551367628273,59782.69695713326,0.5243938246501226,0.9844184401226757,0.15334218327982377,0.3473863524276007,2016,1990
Auraiya,13.360041022361111,-0.0004694059820046226,0.13902162785734692,0.017183793874508003,0.016155332726973483,0.024667247090948956,0.10841129157804388,47.08,26.496439,29.26230746111111,32.2854093,25.613926533333334,18.942444166666665,16.567999316666665,32.253727,25.5675445,18.9544925,24.439466,0.95,0.5547858185653237,0.41380150559025447,0.46725795076567134,12.694308144444445,0.006421199222006551,3.4902636336653357e-16,45.75,-0.00023453674363493882,2.758485593039685,0.3911891878704126,1.7189895087485754,0.0015970796258270592,257,1350.6671,673.61334,645.4254014999999,575.8174111879999,53.78545032779445,69.60799274553332,622.5389250000001,0.0,0.4061533017216814,0.8921517650990686,7,252.48343864371998,92.45662483679628,-6.643468674909692,0.0002737850787132101,0.12525667351129363,-2.960594732333751e-17,3.218621758151939,0.13333333333333333,9.13487,0.6320895536,0.0,0.0,0.2,3,2.0344571903175064,0.0,0.03611871651747708,3.218621758151939,1.0,4.736951571734001e-15,0.5836675901812585,0.43333333333333335,131.13,42.67664879666666,40.73905,6.1849995,1.0,6,24.908976760162332,0.0005662736897262381,0.4736254362045018,0.5836675901812585,0.9994298208845116,2.1789977229976407e-14,0.2330087705368745,0.48333333333333334,285.16638,183.39788374999998,181.8,90.365005,1.0,6,42.73331541165213,0.0030790885183579436,0.1430042065851659,0.2330087705368745,0.9895362904315349,1.146341463414634,3,3,3.5363271633032176,0.14621649721560984,0.001976014503587642,0.24006843871683362,0.0939424545159603,0.14027777777777778,-3.6015223346094367,0.04861111111111111,0.016666666666666666,0.8557979318152512,0.14722222222222223,1983,2006,0.8110242391581545,1826.1362460717455,0.7188094967376563,63747.886789357115,0.5388517698270354,0.9841015126264026,0.1712316860287614,0.374037805737378,2010,1988
Azamgarh,12.40850171986111,-0.00042536949903093646,0.11890990215621465,0.014482031967086096,0.01508389938937795,0.024403130723905618,0.0975749572867442,44.92,26.3053,28.254140527777775,31.560637766666666,25.36572205,19.170806799999998,17.096985455555554,31.566836000000002,25.3171435,19.177270999999998,24.600014,1.27,0.4570621650384914,0.3826139993411258,0.4678277044231387,11.15715507222222,0.0034399700750211825,-1.4802973661668754e-17,60.38333333333333,-0.00045195637087735996,2.6677745421298433,0.26003390679995136,1.5511320954884809,0.0027378507871321013,238,1427.1831,794.07495,895.2662721666667,800.5503743,74.60552238820833,94.71589435850001,880.03445,0.0,0.28647741090188633,0.8942036567093707,7,232.7995863777269,115.72302027703435,-4.036713088913581,0.0004106776180698152,0.16532055669632673,-1.1657341758564144e-16,4.953076765366904,0.1,14.669999,0.3949836698333334,0.0,0.0,0.11666666666666667,2,1.9563844377508364,0.0,0.015215841433453734,4.953076765366904,1.0,2.842170943040401e-15,0.8810114465547303,0.4166666666666667,129.245,26.933080213999997,19.540001,0.56999874,1.0,8,23.72835195951072,0.0,0.6762052508919146,0.8810114465547303,1.0,1.1131836193574903e-14,0.27450917986823725,0.4666666666666667,252.28,139.16379228333332,134.41751,67.08501,1.0,8,38.20173848705156,0.0018013070964943152,0.7786486818282884,0.27450917986823725,0.9965160344587837,1.1538461538461537,3,4,2.7939135429728585,0.157616139896888,0.005961600536100879,0.267047882594325,0.1080736322252703,0.12222222222222222,-2.2754298846614587,0.05138888888888889,0.03194444444444444,0.8725947936524083,0.1736111111111111,1971,1997,0.784615768796097,1459.3728234330763,0.7936294369567028,54195.64741764073,0.5340183596524621,0.9851402436799049,0.14639347249181098,0.3555554449274937,2010,1980
Baghpat,12.36977582638889,0.0002862124078559791,0.16150242923496047,0.018491120579010156,0.019912113029670685,0.033334349430644665,0.1094638082090118,44.51681,24.134014,25.539838516666663,29.247556,23.06856013333333,16.889564233333335,14.208166002777777,29.2105065,23.0585835,16.908233000000003,21.978918,0.94,0.540820084637352,0.45934377680668836,0.5630026358852516,11.331672513888886,0.013529789774937954,-8.34517640176576e-16,43.2,0.0013903699660027247,2.5959036685325,0.343444463939255,1.7057198861883456,0.0023728040155144878,262,1488.5444,933.08203,674.6887495000002,571.7698288076667,56.22406199393819,102.91891511959165,616.63355,0.0,0.4007341315891735,0.8474571856006123,7,231.71811589787387,95.90250062534675,-1.9480742725757119,0.0005019393109742186,0.11827515400410678,5.551115123125783e-16,1.8495888824168982,0.26666666666666666,17.780003,2.1602813478999994,0.37249994,0.0,0.6333333333333333,3,3.9956323639684306,0.0,0.016140027263073085,1.8495888824168982,1.0,-2.1316282072803005e-15,0.3010959830156717,0.5666666666666667,217.98999,132.70922723333334,135.32,42.941406,1.0,8,39.95821522907065,0.008894891225930165,-0.19868078577382386,0.3010959830156717,0.9875828171103144,-6.631732200427602e-15,0.16708929543430723,0.55,494.59,376.393233,383.70250999999996,224.95319,1.0,8,62.89128010821104,0.029456437058088324,-1.1429634759655412,0.16708929543430723,0.9381442569101289,1.1090909090909091,3,3,3.176950387901614,0.12140029748319374,0.00861126255320505,0.2099479966342898,0.10392756644056314,0.13333333333333333,-2.990498918763891,0.05694444444444444,0.027777777777777776,0.8804047489436574,0.15833333333333333,1997,1987,0.8568324668146934,3955.3131136494617,0.7443552947978175,53693.285235260504,0.5318004012496583,0.9804766383541408,0.21099670529103273,0.3527126553367226,2016,1994
Bahraich,12.671131154861111,-0.0005638816205610908,0.12797441057082312,0.017512853468228142,0.015618958568751234,0.022923155105140057,0.10280001306185599,45.97,26.024479,28.30864923333333,31.573978383333333,25.24709405,18.9202097,16.712350705555554,31.6345845,25.250962,18.928312,24.250576,1.67,0.5529504568363196,0.39433331594831583,0.43371090157487546,11.596298527777776,0.0026130584884692617,-2.0169051614023677e-16,67.28333333333333,0.003617492671614153,2.4840316691223574,0.22858572739009847,1.4400778502280158,0.005703855806525211,221,1830.244,673.636,1159.2119276666667,1004.7243890166667,96.60099289256944,154.4875256941667,1183.3925,0.0,0.24309676191935078,0.866730547742929,7,264.9793016849632,139.11295017462322,-1.4001823939983142,0.0009582477754962354,0.18421172712753822,2.2204460492503132e-17,4.0455541266922665,0.1,14.415001,0.5337239636666666,0.0,0.0,0.16666666666666666,1,2.1592091837262366,0.0,0.0237360727618783,4.0455541266922665,1.0000000000000002,-3.434289889507151e-15,0.7284417497122497,0.4166666666666667,140.535,35.14412088666667,31.0825,2.414999,1.0,8,25.60044491078229,0.00027742906774664525,0.6747789772158934,0.7284417497122497,0.9997225709322534,-2.842170943040401e-15,0.26776557490804165,0.5,276.22,165.14062366666667,166.83751,70.335,1.0,8,44.21897403677755,0.003443985586305098,0.6843830381772725,0.26776557490804165,0.9923599631929225,1.1948051948051948,4,3,3.2868406405358708,0.08267039490319847,-0.0007822941917924949,0.14664931933433004,0.083651733907129,0.1375,-2.6569594384646447,0.09027777777777778,0.0375,0.9141541006905357,0.175,1971,1972,0.7887893627909369,1955.3176648652072,0.8139440152249805,70214.03032145076,0.522423978110878,0.984621241621206,0.15549876406679428,0.35653109038935676,2010,1981
