district,year,avg_tmax,avg_tmin,avg_tmean,max_tmax,min_tmin,annual_rainfall,rainy_days,heavy_rain_days,very_heavy_rain_days,HDD_10,HDD_15,HDD_18
Agra,1966,33.338245,18.66759,26.002918,47.53,4.53,660.4054,38,1,0,0.0,7.404999,165.39
Agra,1967,32.18674,18.516027,25.351383,45.95,3.35,1069.791,64,2,0,0.0,40.085,181.63
Agra,1968,32.22142,18.295273,25.258347,44.66,3.49,553.08276,37,0,0,0.0,67.21,252.225
Agra,1969,33.072575,18.649206,25.86089,45.68,2.94,700.8864,42,0,0,0.0,33.445,208.63
Agra,1970,32.68066,18.29882,25.489738,46.42,4.41,617.8229,41,0,0,0.0,27.630001,214.29
Agra,1971,31.416,17.99937,24.707684,42.1,2.82,708.2202,55,0,0,0.0,55.640003,235.96
Agra,1972,32.77082,18.381147,25.575983,46.34,3.25,567.7874,36,0,0,0.0,53.45,228.485
Agra,1973,32.431564,18.746685,25.589125,46.47,1.48,798.26746,60,0,0,5.3200006,87.91,245.82
Agra,1974,32.656605,18.332438,25.49452,45.05,1.74,537.3428,35,0,0,0.0,83.965004,285.83502
Agra,1975,31.66282,18.250875,24.95685,45.04,3.83,551.09564,38,0,0,0.0,56.45001,269.59003
Agra,1976,32.054344,18.505245,25.279797,45.5,4.26,582.88354,57,0,0,0.0,28.555004,168.16501
Agra,1977,32.174683,18.509945,25.342316,45.14,3.1,924.3524,63,1,0,0.0,52.714996,182.305
Agra,1978,32.144302,18.377506,25.260906,45.63,2.83,571.25836,44,0,0,0.0,51.300003,241.13501
Agra,1979,33.036934,18.78663,25.91178,45.74,4.44,351.7204,28,0,0,0.0,22.220001,178.08499
Agra,1980,32.73361,18.963934,25.848772,45.65,3.49,714.26086,56,0,0,0.0,37.935,184.65
Agra,1981,32.430687,18.471754,25.45122,46.11,4.13,805.1968,40,2,1,0.0,31.710003,202.035
Agra,1982,31.665535,18.594301,25.129917,44.03,5.33,793.8373,56,2,0,0.0,24.110004,207.195
Agra,1983,31.367506,18.11104,24.739273,44.16,3.24,773.76526,59,1,0,0.28499985,80.43,251.845
Agra,1984,32.438686,18.113743,25.276215,45.96,3.53,546.29156,44,0,0,0.0,57.940002,250.47
Agra,1985,32.353752,18.580055,25.466904,44.92,4.41,882.2188,61,0,0,0.0,37.785007,196.45001
Agra,1986,32.125122,18.247864,25.186495,45.67,3.27,519.2715,33,0,0,0.0,63.440002,228.95499
Agra,1987,33.78811,18.64033,26.21422,46.05,3.97,363.15775,32,0,0,0.0,24.27,172.285
Agra,1988,33.073906,19.053524,26.063717,47.18,4.59,750.318,56,0,0,0.0,9.039999,120.01
Agra,1989,32.44389,17.878466,25.161179,44.96,2.84,507.09427,33,0,0,0.24499989,81.695,267.135
Agra,1990,32.10378,18.867918,25.48585,44.45,3.35,580.6133,45,1,0,0.7300005,33.965,154.845
Agra,1991,32.77348,18.745096,25.759287,43.85,3.32,423.8817,37,0,0,0.2800007,66.895,193.36
Agra,1992,32.37041,18.452595,25.411503,45.8,4.13,994.27435,60,1,0,0.0,29.305,191.46
Agra,1993,32.76058,18.893726,25.82715,45.31,4.18,682.635,35,2,0,0.0,31.634996,164.17499
Agra,1994,32.990932,18.684465,25.837698,47.01,4.74,717.6587,39,0,0,0.0,17.83,146.26
Agra,1995,32.72915,18.860054,25.794603,47.17,3.37,771.4011,47,0,0,0.0,40.935005,204.425
Agra,1996,32.234673,18.381311,25.307991,44.76,3.22,1124.5314,61,3,1,0.0,26.095001,203.315
Agra,1997,30.904026,18.344164,24.624096,43.61,4.42,362.14877,39,0,0,0.29500008,86.625,290.895
Agra,1998,32.13745,19.387424,25.762438,47.11,3.96,653.52155,55,0,0,0.0,50.969997,203.61499
Agra,1999,32.68293,18.913013,25.797972,45.36,4.22,710.16394,52,0,0,0.96500015,76.285,237.6
Agra,2000,32.150192,18.709864,25.430027,43.51,4.64,363.8305,44,0,0,0.0,44.06,216.47
