district,avg_annual_HDD_10,HDD_10_cv,winter_share_HDD_10,pct_months_breach5_10,avg_annual_HDD_15,HDD_15_cv,winter_share_HDD_15,pct_months_breach5_15,avg_annual_HDD_18,HDD_18_cv,winter_share_HDD_18,pct_months_breach5_18,avg_annual_rainfall,rainfall_cv,spi1_drought_freq,spi1_wet_freq,spi3_drought_freq,monsoon_spi1_mean,rabi_spi1_mean,district_price_name,avg_modal_price,price_volatility,avg_arrival,price_cv,cluster,has_price_data
Agra,0.6348364543,307.9159973426904,100.0,0.6944444444444444,53.53509043799799,49.98702574842822,99.96419791858041,16.52777777777778,212.0318578466083,21.48304764867713,98.78099270424346,25.972222222222225,631.6347627498983,30.15584187999484,7.916666666666666,15.833333333333332,17.68802228412256,-0.0022684369024280615,0.237908195176238,Agra,4595.793046875,1663.0231319770162,48.039375,36.18577066057884,1,True
Aligarh,0.6348364543,307.9159973426904,100.0,0.6944444444444444,53.53509043799799,49.98702574842822,99.96419791858041,16.52777777777778,212.0318578466083,21.48304764867713,98.78099270424346,25.972222222222225,712.4065549632166,24.910178324385633,10.416666666666668,16.38888888888889,16.573816155988858,0.004664018484607521,0.19453061694301638,Aligarh,3457.215641025641,905.4256314393475,43.612307692307695,26.189446232250006,0,True
Allahabad,0.15215322286666666,395.69592558800457,100.0,0.0,26.155399629616667,73.24003262668306,99.94296904446284,10.416666666666668,139.19415207255415,26.532340380210872,99.17779588056729,23.88888888888889,822.3106559251082,27.09932525899991,10.694444444444445,15.972222222222221,16.016713091922004,0.00016713782617347277,0.18990194358681575,Prayagraj,3195.7340163934427,1356.7578572905354,36.36827868852459,42.45528101934182,1,True
Ambedkar Nagar,0.3653498491666667,411.89515766869425,100.0,0.1388888888888889,28.29924006851167,81.21206802420133,100.0,10.555555555555555,142.99800063292832,26.432930299434837,99.45604601757331,23.75,958.2292468726666,29.045995482146747,9.305555555555555,15.972222222222221,17.13091922005571,0.0033540113554862603,0.271607775282591,Ambedkarnagar,2700.8936781609195,409.3838438874986,58.346666666666664,15.15734762896163,0,True
Amethi,0.6479352162333335,363.34963770143787,100.0,0.4166666666666667,32.07421337038,77.94380846831753,99.96726341642298,11.11111111111111,153.61541100480497,27.84423179471839,99.27818918921359,24.444444444444443,825.6423838659334,30.268564181879327,10.833333333333334,14.86111111111111,15.598885793871867,0.00034642397851771813,0.2149983470873944,Amethi,2549.8082467532467,184.67257586685204,38.04590909090909,7.242606423522299,0,True
Amroha,0.6657371984999999,308.8587549015516,100.0,0.5555555555555556,70.98737464493666,41.820981873089934,99.87276989210864,19.72222222222222,257.2562625118063,19.165825134398297,97.72170541006597,28.749999999999996,888.8012504975335,27.50952467809573,10.833333333333334,15.972222222222221,15.87743732590529,0.004790745546764397,0.15852983131732307,Amroha,4077.9526923076924,1877.0295437369891,18.861923076923077,46.02872287551692,1,True
Auraiya,0.6320895516899999,321.8621746203252,100.0,0.5555555555555556,42.67664897471,58.36675900653231,99.94298208879738,14.86111111111111,183.39788335960165,23.30087687243925,98.95362903769875,25.13888888888889,645.4254024936668,39.11891834366136,6.527777777777779,14.722222222222223,15.87743732590529,0.001976014723323279,0.27552052742658795,Auraiya,2727.235487804878,295.9217093338492,44.090284552845525,10.850610834931365,2,True
Azamgarh,0.39498367361666664,495.30767519384904,100.0,0.1388888888888889,26.933080355545,88.10114455861515,100.0,10.416666666666668,139.16379224429,27.450917714572366,99.65160344746937,23.47222222222222,895.2662694245167,26.00339097237437,8.333333333333332,17.36111111111111,16.15598885793872,0.005961600299616743,0.3333544409978323,Azamgarh,2741.840523255814,581.7126274198665,187.9386046511628,21.21613647788343,4,True
Baghpat,2.160281343907667,184.95888642350806,100.0,1.1111111111111112,132.70922713960334,30.109599015041844,98.75828170778722,23.194444444444446,376.39323302718003,16.708928932881314,93.81442566786207,36.388888888888886,674.6887485529132,34.344447346298665,8.472222222222223,15.833333333333332,14.902506963788301,0.008611262402710654,0.24782033888765537,Baghpat,3577.778333333333,656.1032043944509,3.4166666666666665,18.338285474024175,3,True
Bahraich,0.5337239608,404.55541323345454,100.0,0.2777777777777778,35.14412087183666,72.84417453441291,99.97225709329244,12.5,165.14062345161335,26.776557512628873,99.23599631778889,24.583333333333332,1159.2119223186833,22.858572970019658,12.777777777777777,17.5,16.71309192200557,-0.0007822943074642966,0.18510830529890596,Bahraich,2976.011884057971,1116.1896001766052,231.63572463768116,37.50622120011879,4,True
