lat_idx,lon_idx,district
70,66,Sonbhadra
71,49,Lalitpur
71,66,Sonbhadra
71,67,Sonbhadra
72,47,Lalitpur
72,48,Lalitpur
72,49,Lalitpur
72,65,Sonbhadra
72,66,Sonbhadra
72,67,Sonbhadra
73,47,Lalitpur
73,48,Lalitpur
73,49,Lalitpur
73,63,Mirzapur
73,64,Mirzapur
73,65,Sonbhadra
73,66,Sonbhadra
73,67,Chandauli
74,48,Lalitpur
74,58,Chitrakoot
74,62,Allahabad
74,63,Allahabad
74,64,Mirzapur
74,65,Mirzapur
74,66,Mirzapur
74,67,Chandauli
75,48,Jhansi
75,51,Jhansi
75,52,Mahoba
75,53,Mahoba
75,56,Banda
75,57,Chitrakoot
75,58,Chitrakoot
75,59,Chitrakoot
75,60,Chitrakoot
75,61,Allahabad
75,62,Allahabad
75,63,Mirzapur
75,64,Sant Ravi Das Nagar
75,65,Varanasi
75,66,Varanasi
75,67,Chandauli
76,48,Jhansi
76,49,Jhansi
76,50,Jhansi
76,51,Jhansi
76,52,Hamirpur
76,53,Mahoba
76,54,Hamirpur
76,55,Banda
76,56,Banda
76,57,Banda
76,58,Banda
76,59,Fatehpur
76,60,Kaushambi
76,61,Allahabad
76,62,Allahabad
76,63,Allahabad
76,64,Jaunpur
76,65,Varanasi
76,66,Varanasi
76,67,Chandauli
76,68,Ghazipur
76,69,Ghazipur
77,49,Jhansi
77,50,Jhansi
77,51,Jhansi
77,52,Hamirpur
77,53,Hamirpur
77,54,Hamirpur
77,55,Hamirpur
77,56,Banda
77,57,Fatehpur
77,58,Fatehpur
77,59,Kaushambi
77,60,Pratapgarh
77,61,Pratapgarh
77,62,Pratapgarh
77,63,Jaunpur
77,64,Jaunpur
77,65,Jaunpur
77,66,Azamgarh
77,67,Ghazipur
77,68,Ghazipur
77,69,Ghazipur
77,70,Ballia
77,71,Ballia
77,72,Ballia
78,50,Jalaun
78,51,Jalaun
78,52,Jalaun
78,53,Jalaun
78,54,Hamirpur
78,55,Fatehpur
78,56,Fatehpur
78,57,Fatehpur
78,58,Fatehpur
78,59,Rae Bareli
78,60,Amethi
78,61,Pratapgarh
78,62,Pratapgarh
78,63,Pratapgarh
78,64,Sultanpur
78,65,Azamgarh
78,66,Azamgarh
78,67,Mau
78,68,Mau
78,69,Mau
78,70,Ballia
79,51,Jalaun
79,52,Jalaun
79,53,Kanpur Dehat
79,54,Kanpur Nagar
79,55,Kanpur Nagar
79,56,Kanpur Nagar
79,57,Unnao
79,58,Rae Bareli
79,59,Rae Bareli
79,60,Amethi
79,61,Amethi
79,62,Sultanpur
79,63,Sultanpur
79,64,Sultanpur
79,65,Ambedkar Nagar
79,66,Azamgarh
79,67,Azamgarh
79,68,Mau
79,69,Mau
79,70,Deoria
80,51,Auraiya
80,52,Auraiya
80,53,Kanpur Dehat
80,54,Kanpur Dehat
80,55,Kanpur Nagar
80,56,Unnao
80,57,Unnao
80,58,Rae Bareli
80,59,Rae Bareli
80,60,Amethi
80,61,Amethi
80,62,Faizabad
80,63,Faizabad
80,64,Ambedkar Nagar
80,65,Ambedkar Nagar
80,66,Sant Kabir Nagar
80,67,Gorakhpur
80,68,Gorakhpur
80,69,Deoria
81,50,Etawah
81,51,Etawah
81,52,Auraiya
81,53,Kanpur Dehat
81,54,Kanpur Nagar
81,55,Unnao
81,56,Unnao
81,57,Lucknow
81,58,Lucknow
81,59,Barabanki
81,60,Barabanki
81,61,Barabanki
81,62,Faizabad
81,63,Basti
81,64,Basti
81,65,Basti
81,66,Sant Kabir Nagar
81,67,Gorakhpur
81,68,Gorakhpur
81,69,Kushinagar
81,70,Kushinagar
82,45,Agra
82,46,Agra
82,47,Agra
82,48,Firozabad
82,49,Firozabad
82,50,Mainpuri
82,51,Mainpuri
82,52,Kannauj
82,53,Kannauj
82,54,Hardoi
82,55,Unnao
82,56,Hardoi
82,57,Lucknow
82,58,Lucknow
82,59,Barabanki
82,60,Barabanki
82,61,Gonda
82,62,Gonda
82,63,Gonda
82,64,Gonda
82,65,Siddharth Nagar
82,66,Siddharth Nagar
82,67,Maharajganj
82,68,Maharajganj
82,69,Maharajganj
82,70,Kushinagar
83,45,Mathura
83,46,Agra
83,47,Firozabad
83,48,Firozabad
83,49,Mainpuri
83,50,Mainpuri
83,51,Mainpuri
83,52,Farrukhabad
83,53,Hardoi
83,54,Hardoi
83,55,Hardoi
83,56,Hardoi
83,57,Sitapur
83,58,Sitapur
83,59,Barabanki
83,60,Bahraich
83,61,Gonda
83,62,Gonda
83,63,Gonda
83,64,Siddharth Nagar
83,65,Siddharth Nagar
83,66,Siddharth Nagar
83,67,Maharajganj
83,68,Maharajganj
83,69,Maharajganj
84,44,Mathura
84,45,Mathura
84,46,Hathras
84,47,Etah
84,48,Etah
84,49,Etah
84,50,Etah
84,51,Etah
84,52,Farrukhabad
84,53,Hardoi
84,54,Hardoi
84,55,Hardoi
84,56,Sitapur
84,57,Sitapur
84,58,Sitapur
84,59,Sitapur
84,60,Bahraich
84,61,Shravasti
84,62,Shravasti
84,63,Balrampur
84,64,Balrampur
84,65,Siddharth Nagar
85,44,Mathura
85,45,Mathura
85,46,Aligarh
85,47,Aligarh
85,48,Kasganj
85,49,Kasganj
85,50,Kasganj
85,51,Budaun
85,52,Shahjahanpur
85,53,Shahjahanpur
85,54,Shahjahanpur
85,55,Lakhimpur Kheri
85,56,Sitapur
85,57,Sitapur
85,58,Sitapur
85,59,Lakhimpur Kheri
85,60,Bahraich
85,61,Shravasti
85,62,Shravasti
85,63,Balrampur
86,45,Aligarh
86,46,Aligarh
86,47,Aligarh
86,48,Aligarh
86,49,Budaun
86,50,Budaun
86,51,Budaun
86,52,Shahjahanpur
86,53,Shahjahanpur
86,54,Shahjahanpur
86,55,Lakhimpur Kheri
86,56,Lakhimpur Kheri
86,57,Lakhimpur Kheri
86,58,Lakhimpur Kheri
86,59,Bahraich
86,60,Bahraich
87,45,Bulandshahr
87,46,Bulandshahr
87,47,Bulandshahr
87,48,Sambhal
87,49,Budaun
87,50,Budaun
87,51,Bareilly
87,52,Bareilly
87,53,Pilibhit
87,54,Shahjahanpur
87,55,Shahjahanpur
