group_id,n_districts,districts
0,2,"Chandauli, Ghazipur"
1,2,"Banda, Fatehpur"
2,4,"Allahabad, Chitrakoot, Kaushambi, Pratapgarh"
3,2,"Hamirpur, Mahoba"
4,3,"Jaunpur, Sant Ravi Das Nagar, Varanasi"
5,4,"Ambedkar Nagar, Basti, Faizabad, Sultanpur"
6,6,"Azamgarh, Deoria, Gorakhpur, Kushinagar, Mau, Sant Kabir Nagar"
7,2,"Hardoi, Sitapur"
8,2,"Bahraich, Shravasti"
9,3,"Balrampur, Gonda, Siddharth Nagar"
10,3,"Kanpur Nagar, Lucknow, Unnao"
11,4,"Auraiya, Etawah, Jalaun, Kanpur Dehat"
12,6,"Agra, Aligarh, Etah, Firozabad, Hathras, Kasganj"
13,3,"Amethi, Barabanki, Rae Bareli"
14,3,"Amroha, Moradabad, Sambhal"
15,4,"Farrukhabad, Kannauj, Mainpuri, Shahjahanpur"
16,4,"Bulandshahr, Gautam Buddha Nagar, Ghaziabad, Hapur"
17,4,"Bareilly, Budaun, Pilibhit, Rampur"
18,5,"Baghpat, Meerut, Muzaffarnagar, Saharanpur, Shamli"
